# Required operational cutover gates. Status is `open` or `complete`; the third field records the missing proof or completed evidence.
backup_rollback_rehearsal	complete	The CI rehearsal backs up a live-WAL disposable current-schema database with the production helper, verifies SQLite/metadata/hash immutability, forces unhealthy candidates and retained-runtime failures, and restores retained Python or Rust images. It SIGKILLs a Rust redeploy before backup-ready publication, reclaims the stale deploy lock, and proves durable pending/recovering/active transitions, exact candidate-stop-before-restore ordering, marker-collision recovery, and Python-free Rust-to-Rust rollback.
container_health_smoke	open	CI now proves built-image startup health, a typed loopback interaction plus committed app_kv write, stopped-state failure detection, and automatic retained-Python rollback; the sole residual is a concrete Serenity/Discord HTTP write and health proof in an isolated staging guild without Python running.
database_migration_and_interop	open	Rust-owned clean/existing SQLite initialization, migration, and admission are implemented by cama-db::schema_manager and cama-runtime::gateway::SqliteDatabaseAdmission. The Rust-only copied production snapshot migrated 203 rows to 231/229 with 28 newly applied migrations, quick_check=ok, and a compatible final db-check without Python readback. The remaining gate is complete old/current-schema and production repository-family coverage; Python-after-Rust readback is not required.
discord_gateway_and_commands	open	Make cama-rust serve the live gateway as sole runtime and prove command schemas, interaction timing, visibility, mentions, components, attachments, and errors with Python stopped.
external_service_recordings	open	Replay recorded OpenDota, Dotabase, Steam asset, and LLM provider success/failure/fallback contracts without live CI network.
image_and_attachment_equivalence	open	Prove in isolated staging against real Discord the functional media contract: correct asset selection, filename/type/dimensions, behavior-relevant animation timing, and attachment replace/preserve/clear/retry; pixel/perceptual matching is not required.
observability_and_post_deploy	open	Provide health metrics, structured logs, deploy metadata, alerting, and a post-deploy verification checklist.
persistent_views_and_reconnect	open	Register persistent views and prove buttons, modals, pagination, restart recovery, stale callbacks, and reconnect behavior.
production_snapshot_replay	complete	The Rust-only one-way rehearsal passed against a copied production snapshot: production cama-rust db-admit applied 28 migrations (203 to 231/229), repository, Dig/Pet, Profile/Info, referral, and Survey smokes passed, final cama-rust db-check was compatible with quick_check=ok, the source remained byte-identical, and python_post_rust_readback=false. The older A/B runner remains optional development evidence, not a cutover round-trip requirement.
runtime_selector_and_same_deploy	complete	One fail-closed BOT_RUNTIME selector swaps only the existing bot implementation; CI and offline deploy rehearsals prove identical UID/volume/environment/GIT_SHA/SSH handoff, Rust-only redeploy without Python, and retained-image Python restoration.
scheduled_workers_and_shutdown	complete	All ten production background tasks are composed behind READY under the shared WorkerSpec supervisor; 79 worker tests plus runtime_lifecycle prove startup catch-up, bounded retry/restart, durable idempotent recovery, cancellation, reconnect, and graceful joined shutdown, including persisted Dig-weather broadcast recovery.
single_writer_and_process_lock	complete	Both images acquire /app/data/.cama-runtime.lock before DB or gateway startup; bidirectional fs2/flock tests and CI/local container overlap smoke reject the second runtime and prove no DB is created.
sqlite_repository_coverage	open	Current production wiring uses concrete existing-schema SQLite adapters for the durable repositories audited so far. The Rust-only copied-snapshot rehearsal covers fourteen shared repository families plus Dig/Pet, Profile/Info, referrals, and Survey. The remaining gate is a complete production-callsite inventory, replacement of any unintended durable in-memory store, and transactional Rust coverage for every persistent family; Python-after-Rust interoperability is not required.
